cell_id,container_id,r2_orig,r2_m0_refit,r2_m1_075,r2_m1_100,r2_m1_150,best_sigma,best_delta,passes_screen
517420017,511510650,0.8816096909521487,0.8816096909521498,0.8232643403366915,0.42317426237995914,0.42317426237995914,0.75,-0.058345350615458313,False
517430331,511510670,0.7609952356140943,0.7609952356141041,0.7545461077074433,0.4905241222439499,0.4905241222439499,0.75,-0.006449127906660745,False
586183287,511510650,0.749907162297713,0.749907162297622,0.6965230348545459,0.4294795184861606,0.4294795184861606,0.75,-0.05338412744307608,False
517428462,511510670,0.7451155884384376,0.745115588438438,0.6656808568126884,0.39183411291294246,0.39183411291294246,0.75,-0.07943473162574954,False
662288278,652842570,0.7428586138218667,0.7428586138218807,0.6796771840955376,0.41417805423976195,0.41417805423976195,0.75,-0.06318142972634311,False
517431832,511510670,0.7324387748201557,0.7324387748201521,0.6980794190011558,0.3722812983093001,0.3722812983093001,0.75,-0.034359355818996296,False
517431875,511510670,0.7258009246613828,0.7258009246613928,0.7113324352020007,0.4011683797496076,0.4011683797496076,0.75,-0.014468489459392053,False
517410072,511509529,0.7216191401864901,0.7216191401864956,0.6967157824305538,0.2862383265209626,0.2862383265209626,0.75,-0.02490335775594188,False
517424485,511510718,0.6944696771402296,0.6944696771403764,0.6207429130396664,0.4087937291225682,0.4087937291225682,0.75,-0.07372676410071,False
673448245,661732156,0.6851645802547099,0.6851645802548061,0.6074138845638606,0.4012029482953253,0.4012029482953253,0.75,-0.0777506956909455,False
517429112,511510670,0.6757033838746598,0.6757033838746598,0.6062201127272602,0.40485847397575236,0.40485847397575236,0.75,-0.0694832711473996,False
517429406,511510670,0.672007148843055,0.6720071488432142,0.65013683130263,0.18356417592624164,0.18356417592624164,0.75,-0.021870317540584217,False
517430731,511510670,0.6689907813477824,0.6689907813475955,0.6551572126440964,0.24374254280958652,0.24374254280958652,0.75,-0.013833568703499055,False
673450630,661732156,0.6428897515877767,0.6428897515877512,0.582021166430542,0.5108085514137382,0.5108085514137382,0.75,-0.060868585157209165,False
517409561,511509529,0.6250674150503122,0.6250674150510985,0.5873462681103778,0.3871170718725283,0.3871170718725283,0.75,-0.03772114694072071,False
517407858,511507650,0.6232078117862188,0.6168617874966262,0.6034740682516431,0.3289771262550554,0.3289771262550554,0.75,-0.013387719244983165,False
517429007,511510670,0.6213255302894837,0.6213255302880647,0.6170133509497564,0.36755692680904584,0.36755692680904584,0.75,-0.004312179338308297,False
674569872,666589599,0.6210319821902178,0.6210319821903363,0.5444548690879332,0.42931857512265736,0.42931857512265736,0.75,-0.07657711310240312,False
674569235,666589599,0.616062206415936,0.5887204000382439,0.6017082353947858,0.5747547499433894,0.5747547499433894,0.75,0.01298783535654191,False
