name,name_rank,cell_id,container_id,cre_line,imaging_depth_um,cortex_x_um,cortex_y_um,sigma_deg,kappa,kappa_dir,sigma_phi_deg,sigma_orth_deg,sigma_x_deg,sigma_y_deg,x0_deg,y0_deg,x0_px,y0_px,amplitude,theta_envelope,phi_deg,phi_confidence,edge_orientation,r_squared,rmse,aic,converged,n_starts_succeeded,r2_improvement,delta_r2_vs_m0,r2_m0,r2_m1,r2_m2,low_kappa,low_r2,multistart_helped,pixel_size_deg,vmax,model_abs_max,orientation_sharpness,comment
Georgette,1,517409263,511509529,Cux2-CreERT2,,199.8381566820277,251.0557603686636,8.667968509983002,1.2271334527034217,0.8149072929247931,9.602033628818376,7.824767231033211,9.602033628818376,7.824767231033211,25.97546121632774,55.463159313619684,5.5861206916833845,11.927561142713909,0.0022118175309984232,85.23699527015111,71.53905074349508,4.8823647978137705,161.53905074349507,0.49524268233629853,0.00023982756994561218,-7454.688954851952,True,16,0.2559964906951694,0.0691834109533034,0.4260592467208219,0.4952426576741254,0.4713715178329758,True,False,True,4.65,0.001723742091562599,0.6002150794205818,1.5929661741871173,
Steve,2,517430463,511510670,Cux2-CreERT2,,74.45167630057804,25.77606936416185,7.857467149402685,1.3291663668235205,0.7523512668995893,9.058832836960132,6.815424361518557,9.058832836960132,6.815424361518557,25.34044183484874,53.93598219496946,5.449557383838438,11.59913595590741,-0.0008959251345451942,44.81979192823465,224.66150329315542,6.22083353919241,134.66150329315542,0.4523651251976497,9.841292460630495e-05,-8252.799219756098,True,16,0.21769644574940017,0.1041828160066387,0.3481823464443179,0.4523651624509566,0.3361476544003132,False,False,True,4.65,0.0007308279105927795,0.6021175094393023,1.630709928601325,
Cassandra,3,517509862,511510855,Cux2-CreERT2,,73.41176470588236,72.82141176470589,8.350123104250217,1.4948722436426416,0.6689534869971512,10.209275353796892,6.829530347636505,10.209275353796892,6.829530347636505,41.124574553969396,40.54548227358786,8.843994527735353,8.719458553459754,0.006487782003500176,14.81831998454157,42.11081127783665,4.608988821007225,132.11081127783666,0.5544398801969634,0.0006184192934597735,-6605.956100513902,True,16,1.3890200101229766e-10,0.0347404133527549,0.5196994667052053,0.5544398800579602,0.4661483421408385,False,False,False,4.65,0.004592173825949431,0.5953583868802005,1.6776941822437073,
Garibaldi,4,517510257,511510855,Cux2-CreERT2,,,,6.458991669234764,1.0698094349247218,0.9347459158185177,6.680637949851337,6.2446990386857335,6.680637949851337,6.2446990386857335,61.405562511269515,50.62394409264716,13.205497314251508,10.886869697343474,-0.001302211351945683,52.2499189393697,121.51550765105111,2.991991287760966,31.51550765105111,0.3487009198883132,0.0001463778652696857,-7897.069968597402,True,16,0.07022220127293555,0.0565028358622924,0.2921984034768641,0.3487012393391565,0.3456880881066423,True,True,True,4.65,0.0009569700504653158,0.6046053095041667,1.5701968041867203,
Gertrude,5,517511183,511510855,Cux2-CreERT2,,,,6.083332393596502,1.1115945252227928,1.1115945252227928,5.769900811622868,6.413790153278529,6.413790153278529,5.769900811622868,55.133401654870596,42.59829477960318,11.85664551717647,9.160923608516812,0.015161409707549412,165.4240497819839,324.8911476122218,1.0085824010029076,54.8911476122218,0.48249509501322085,0.0012163501817260447,-5999.862900418555,True,16,0.2374796176669276,0.1938810566573023,0.2886140385480117,0.4824950952053141,0.4041259882179734,True,False,True,4.65,0.009745862558484078,0.5684913796184696,1.5728678254389954,
Vasily,6,517511567,511510855,Cux2-CreERT2,,,,10.768479330308498,1.245662686501157,1.245662686501157,9.648374474575913,12.018620068369422,12.018620068369422,9.648374474575913,44.34834875218795,45.08243894618778,9.537279301545796,9.69514816047049,-0.0004459511680422188,156.22771734686762,124.16274272524122,5.530098841522384,34.16274272524123,0.5065897497347077,6.032707848618476e-05,-8691.293625047507,True,16,0.44945132069792393,0.1850590798615154,0.321530519345014,0.5065895992065295,0.4204047204607058,True,False,True,4.65,0.0004937472916208209,0.5910276601711026,1.603550820880493,
Hildegard,7,517514088,511510855,Cux2-CreERT2,,353.0626666666667,117.1456,6.997678085740061,1.0382046038382498,1.0382046038382498,6.867718483261727,7.130096947187366,7.130096947187366,6.867718483261727,55.24190719173778,41.15199284307076,11.87998004123393,8.849890933993711,0.0009434419077443365,155.17906300153584,42.83497635097616,0.9236829536505292,132.83497635097615,0.552859080831696,7.560533366175017e-05,-8489.025418662697,True,16,0.3126222048950993,0.1454889867779966,0.4073699888186153,0.5528589755966119,0.4478716092127687,True,False,True,4.65,0.0005900050303898752,0.5731473382147977,1.5647399424205866,
Bobby,8,587179530,511509529,Cux2-CreERT2,,31.77089361702128,211.22731914893612,7.543671777963801,1.066703546599383,0.9374675871173095,7.791205397473988,7.304002524705297,7.791205397473988,7.304002524705297,27.11553991403522,49.540149015408204,5.831298906244133,10.65379548718456,0.01811360469751702,107.57556182287475,183.69369889744524,0.6146535808696995,93.69369889744524,0.580119562845747,0.001480166832294393,-5823.978023840084,True,16,0.0,0.135579458765554,0.4445401040801863,0.5801195628457403,0.5462187748613938,True,False,False,4.65,0.012403898611664773,0.5921189345089608,1.5703876007899151,
Valentina,9,587435972,511507650,Cux2-CreERT2,,,,7.431014260442623,1.2047836176776432,0.8300245665089746,8.156477105061441,6.770076373368998,8.156477105061441,6.770076373368998,32.23645282436486,49.59539774927715,6.93257049986341,10.665676935328419,-0.000838412250905705,1.1605310769004917,146.0259472073348,9.375602771779333,56.02594720733481,0.49827840154704806,7.96103407836109e-05,-8442.776441531783,True,16,0.0001441720363886123,0.168332756335137,0.35031161212321,0.4981342328988094,0.518644368458347,True,False,False,4.65,0.0005730004189535976,0.5815028412799496,1.5957577791981437,
Ting,10,589156275,511510670,Cux2-CreERT2,,214.2947368421053,142.1242105263158,8.9396474176914,1.6470907969861885,0.6071310712377112,11.473057250951431,6.965649539141731,11.473057250951431,6.965649539141731,30.208487337782888,56.70254027655639,6.496448889845782,12.194094683130405,0.0174625353079344,160.5434743527592,154.5462822656418,11.048971560477476,64.54628226564179,0.7234028450706838,0.0012255105233052108,-5993.140400203818,True,16,3.8408798364031327e-10,0.2033404418340426,0.5200624029133746,0.7234028447474172,0.7115560768341771,False,False,False,4.65,0.009882793668657543,0.6034870484740686,1.7607548120999934,
Mathilde,11,589170196,511510718,Cux2-CreERT2,,238.4967,50.19690000000001,12.548498720138577,1.6777044850122957,0.5960525282810286,16.253597600611805,9.687997943507126,16.253597600611805,9.687997943507126,44.2523118867701,46.25820428824823,9.516626212208623,9.948000922203919,-1.956745974058477e-05,15.22881684129223,191.5903198478656,15.284550206993925,101.5903198478656,0.48066219699255985,3.248847056802969e-06,-11308.940497178104,True,16,0.048112469497136545,0.1562840430849186,0.3243774462958602,0.4806614893807788,0.4525733927805565,False,False,False,4.65,2.3732758054393348e-05,0.6054749851007755,1.7266653273351464,
Crispin,12,589170614,511510718,Cux2-CreERT2,,,,7.324924854075429,1.9434613118996846,0.5145458743516356,10.211537192383613,5.254304333129272,10.211537192383613,5.254304333129272,60.117137088726615,41.855823977292715,12.928416578220777,9.001252468234991,2.8463196310119722e-05,155.87373186227646,145.9496201240339,8.946170878357549,55.94962012403391,0.38507983430043125,3.3551476744667425e-06,-11280.093235958237,True,16,0.0,0.115098731656812,0.2699832253222213,0.3850819569790333,0.2633141411666155,False,True,False,4.65,2.6006891639553943e-05,0.6041181510866797,1.9332470412377651,
Leontine,13,662279460,650389885,Slc17a7-IRES2-Cre,,323.92088495575223,132.47575221238938,7.652768663728454,1.4793670571706459,0.6759647615193918,9.3080039080897,6.291882641953421,9.3080039080897,6.291882641953421,45.446251567571274,30.235724823325,9.773387433886295,6.502306413618279,-0.0013060794610710218,173.82253171561757,286.4944873049216,4.658368041838616,16.49448730492162,0.5509616841585981,0.00011490456000814605,-8113.982183679314,True,16,0.007395188852995616,0.0786708057284149,0.4722909092409678,0.5509617149693827,0.5482844540687137,False,False,False,4.65,0.000802572023821995,0.5861956653689856,1.695705470430049,
