cell_id,container_id,cre_line,depth_um,derivative_order,sigma,theta,kappa,x0,y0,sigma_x,sigma_y,amplitude,dominant_subfield,r_squared,rmse,aic,r2_m0,r2_m1,r2_m2,delta_r2_vs_m0,r2_improvement,n_starts_succeeded,cortex_x_um,cortex_y_um,phi,phi_confidence,theta_hybrid,method,sigma_major,sigma_minor,log_sigma,log_kappa,m_manual,manually_verified,m_final
517407066,511507650,Cux2-CreERT2,175,0,5.518854077332486,134.49236561025972,1.5408473496321355,30.39509624593331,53.57622305806711,6.850601715684898,4.445996365130148,0.0003078555360015,OFF,0.5349745837926057,2.795797803701435e-05,-9380.387931699766,0.5349745837926057,0.4336868524823201,0.4678478974912345,0.0,1.963702875862339e-07,16,378.8751798561152,222.39820143884893,,0.0,134.49236561025972,order_class,6.850601715684898,4.445996365130148,0.7418489111431583,0.4323324921400018,0.0,True,0
517407131,511507650,Cux2-CreERT2,175,2,7.684700024140037,97.54574706212912,1.8017464161962744,17.649027785144845,40.063971687241725,10.31510736565508,5.725060570638812,0.0005375373050202,OFF,0.390763499205906,8.043739830766258e-05,-8433.516077816821,0.3704022073006554,0.3698918119678502,0.390763499205906,0.0203612919052506,0.3487017740771001,16,65.4566497461929,214.147614213198,1.7407114062704068,34.79626445684524,97.54574706212912,order_class,10.31510736565508,5.725060570638812,0.8856269192783948,0.5887564257521818,,False,0
517407093,511507650,Cux2-CreERT2,175,0,5.641907964180318,176.23744968087908,1.2934170236653284,23.975248609685643,40.97982847926177,6.416456933031607,4.9608570288091896,0.0002398782381837,ON,0.5120600703777134,2.3295298361818067e-05,-9543.864068301516,0.5120600703777134,0.412508216427036,0.4547345293691923,0.0,2.323692283034973e-07,16,375.2661878453039,187.31204419889505,,0.0,176.23744968087908,order_class,6.416456933031607,4.9608570288091896,0.7514259972793542,0.2572875718931179,,False,0
517407808,511507650,Cux2-CreERT2,175,2,13.710557727716616,104.96386112321176,2.5293293393205616,35.562463834259574,45.813894875250426,21.805086434619074,8.620896494434545,-0.0002135853910162,ON,0.3833187743381521,5.197380760602194e-05,-8824.834516885132,0.3695186842617346,0.3468794368596366,0.3833187743381521,0.0138000900764174,0.0597319274819792,16,313.7899421965318,75.91248554913295,0.5902986367269136,29.622077526935843,104.96386112321176,order_class,21.805086434619074,8.620896494434545,1.1370551216854357,0.9279541843261426,,False,0
517408433,511507650,Cux2-CreERT2,175,0,5.646996033263576,7.804097795961752,1.1572091673697478,28.09580855346728,42.44485862977335,6.074680141879512,5.249422760525496,0.0027459907808926,ON,0.7503801306122281,0.0001576977564922,-7830.327940310353,0.7503801306122281,0.492284192461085,0.5680615853137947,0.0,0.0003030359192227,16,95.94742857142856,97.88257142857142,,0.0,7.804097795961752,order_class,6.074680141879512,5.249422760525496,0.7518174826665152,0.1460112161155532,,False,0
517407759,511507650,Cux2-CreERT2,175,0,9.945163324532142,176.43844858783729,2.048812840947205,39.25339590306362,43.91020525574756,14.23518329010183,6.948015458318113,0.0003552434431394,ON,0.5401033765569806,5.482738086263531e-05,-8776.943470862492,0.5401033765569806,0.4143830206584763,0.4682120679351461,0.0,5.349352627526116e-09,16,218.10251162790692,135.91590697674417,,0.0,176.43844858783729,order_class,14.23518329010183,6.948015458318113,0.997611919723967,0.71726052342903,,False,0
517408245,511507650,Cux2-CreERT2,175,0,5.14805146391136,2.527598621638276,1.1450843504630948,14.710679004609144,49.38526555213624,5.508858527820166,4.810875745173075,0.0034169377072017,OFF,0.7149396331451682,0.0001965632249003,-7632.935675177236,0.7149396331451682,0.4492430845172446,0.219500716980321,0.0,2.5846767630510747e-05,16,142.36964028776978,341.8307913669065,,0.0,2.527598621638276,order_class,5.508858527820166,4.810875745173075,0.7116428797982006,0.13547830281953063,0.0,True,0
587436003,511507650,Cux2-CreERT2,175,2,11.167935823018531,168.99281363951405,2.0181661836984404,20.28469132699936,57.53041824664447,15.865412639404664,7.861301397058447,0.0078756040743949,OFF,0.3563953082458284,0.0017073724543369,-5696.028501294193,0.345776034433282,0.3396352342634086,0.3563953082458284,0.0106192738125464,0.1443343721996437,16,333.6506172839506,229.11135802469136,165.12146137167298,33.71052299989982,168.99281363951405,order_class,15.865412639404664,7.861301397058447,1.0479729095959733,0.7021892692337683,,False,0
517407128,511507650,Cux2-CreERT2,175,0,5.416974759085979,173.82396395168334,1.1581807849869838,23.690667184454803,51.23243584527242,5.82968366904577,5.033483325413041,0.0428653453282053,OFF,0.8980016289682277,0.0013822325354499,-5885.313555696302,0.8980016289682277,0.7186982529421411,0.7414424546452698,0.0,1.1619594175726888e-12,16,170.937,232.86900000000003,,0.0,173.82396395168334,order_class,5.82968366904577,5.033483325413041,0.7337568119550785,0.1468504852617969,0.0,True,0
517407714,511507650,Cux2-CreERT2,175,0,8.352009225782426,137.9655040181773,1.067917492373021,25.410203639357164,45.83614332917994,8.630974142705249,8.082060837421391,0.0001606236241096,ON,0.6087702779177413,1.8472438149906187e-05,-9751.7107667971,0.6087702779177413,0.5512177926429476,0.471254547488235,0.0,9.014287875031002e-07,16,200.84458333333333,244.37833333333333,,0.0,137.9655040181773,order_class,8.630974142705249,8.082060837421391,0.9217909653880942,0.06571048322135614,,False,0
587436020,511507650,Cux2-CreERT2,175,0,6.102307425087345,12.195839438914604,1.2808366485232738,25.33577198649828,47.79884806097846,6.906228696858021,5.391966809210588,0.0795463002110541,ON,0.9198031915760938,0.0025181225063883,-5347.880556286803,0.9198031915760938,0.730327117855345,0.79381056302143,0.0,0.0025517573924938,16,313.41536423841063,300.3981456953643,,0.0,12.195839438914604,order_class,6.906228696858021,5.391966809210588,0.7854940829615641,0.2475134960661998,,False,0
517407706,511507650,Cux2-CreERT2,175,0,7.55695357606045,168.02988981860818,1.58901371793651,19.93481998856448,48.01566580041988,9.526000007244557,5.994913637130206,0.0001813596003193,ON,0.4174215246531787,2.806981046177561e-05,-9376.811064279436,0.4174215246531787,0.3410073109865562,0.363121652810909,0.0,0.0,16,343.37,301.365,,0.0,168.02988981860818,order_class,9.526000007244557,5.994913637130206,0.8783467542645264,0.46311352057993854,,False,0
517407703,511507650,Cux2-CreERT2,175,0,5.47620137419079,175.30768121268818,1.4263548043064955,26.1973948930836,52.26233693932184,6.540232607066977,4.585277511121706,0.0231613468194939,OFF,0.876778616848291,0.000839479166692,-6332.125092682608,0.876778616848291,0.6871367462544937,0.7339372810782462,0.0,0.0,16,225.46783018867924,299.75915094339626,,0.0,175.30768121268818,order_class,6.540232607066977,4.585277511121706,0.7384794098950881,0.35512210191793236,0.0,True,0
587435308,511507650,Cux2-CreERT2,175,1,13.372867238325192,167.50099600526804,2.8326931018094084,22.92483102216357,56.96122868357143,22.507346428777844,7.945564739929317,0.0001216779759273,ON,0.5270710765489346,1.284529115366596e-05,-10077.22980182621,0.5066535914937069,0.5270710765489346,0.4572413199974056,0.0204174850552276,0.1737301674675236,16,306.4628571428572,246.14142857142852,137.4528530062338,27.106464514131737,137.4528530062338,order_class,22.507346428777844,7.945564739929317,1.1262245330870206,1.041227885227167,0.0,True,0
517407303,511507650,Cux2-CreERT2,175,0,5.741281762740593,2.092885723724629,1.161682936069219,32.93166582320618,50.10546902531079,6.18803364202534,5.326783625628316,0.0529449428005915,ON,0.9059230335279178,0.0017259292821467,-5686.342734701704,0.9059230335279178,0.7324243063112734,0.7137778515984632,0.0,2.7315705224184583e-05,16,328.81422680412373,238.93731958762888,,0.0,2.092885723724629,order_class,6.18803364202534,5.326783625628316,0.75900886109871,0.14986976067088395,,False,0
517407273,511507650,Cux2-CreERT2,175,0,11.410529878682242,177.2479502384598,2.359683144855344,47.83200669025959,55.13681553903377,17.52801183204537,7.428120962028524,5.658096162971297e-05,ON,0.4507484869217183,1.172674751194786e-05,-10158.859839033275,0.4507484869217183,0.4303927919194422,0.4329673586463953,0.0,8.795551165174943e-08,16,379.64457142857145,229.9328571428572,,0.0,177.2479502384598,order_class,17.52801183204537,7.428120962028524,1.0573058125202737,0.858527349369235,,False,0
517407268,511507650,Cux2-CreERT2,175,0,5.404970115536044,5.602119210453111,1.879443837848556,28.395398904044324,58.7532149889166,7.409825376509682,3.942562808895575,0.0001297911433112,ON,0.451786024620152,1.3643519326385424e-05,-10023.212347633624,0.451786024620152,0.3859454282872058,0.4490767494083836,0.0,0.0016765609037889,16,323.30642201834866,220.50743119266056,,0.0,5.602119210453111,order_class,7.409825376509682,3.942562808895575,0.7327932970509072,0.6309759021436367,,False,0
517408588,511507650,Cux2-CreERT2,175,2,8.188932987817639,2.385002437930438,3.1025816894584533,,,14.424106812074523,4.64906592502717,6.363471275222328e-06,OFF,0.3264878473385203,1.0920232003978615e-06,-12285.820677833168,0.2864308545913661,0.326298559691849,0.3264878473385203,0.0400569927471542,0.2488583961264344,16,,,8.42689122458296,25.659859189219407,2.385002437930438,order_class,14.424106812074523,4.64906592502717,0.9132273171826657,1.1322345679541665,,False,0
517407360,511507650,Cux2-CreERT2,175,2,7.864756455122474,143.47617200932677,3.69358750509403,,,15.115046052757416,4.092239870291802,-9.41202283118006e-06,ON,0.3059547130270178,1.73876145217026e-06,-11869.054406533423,0.2650436984403634,0.2551879541132871,0.3059547130270178,0.0409110145866543,0.1885699759521896,16,,,10.238712229001464,33.126739902570435,143.47617200932677,order_class,15.115046052757416,4.092239870291802,0.8956852785379374,1.3065982093518853,,False,0
517406835,511507650,Cux2-CreERT2,175,2,14.385581441658076,70.20140716321423,1.4125505054904033,44.543914037187136,47.74870487429964,17.09737402510833,12.10390280464523,-0.0001103920916577,ON,0.3710438829068132,3.0148338570021587e-05,-9312.8051446361,0.367251064346091,0.3677386655590424,0.3710438829068132,0.0037928185607222,0.0176311728990311,16,359.03277486911,147.01979057591623,171.13763139371903,30.1276872676427,70.20140716321423,order_class,17.09737402510833,12.10390280464523,1.1579274200532772,0.34539693949862543,,False,0
517408456,511507650,Cux2-CreERT2,175,0,5.170703677031259,37.457264409151776,1.6583927854489051,15.964531656698355,53.90571140525693,6.658759812762928,4.0151886038026205,0.0003884856979312,OFF,0.4139672853131643,4.22892695481695e-05,-9009.595552453133,0.4139672853131643,0.3632856525753405,0.4100359179174584,0.0,3.379361079858256e-08,16,169.7557627118644,178.0449152542373,,0.0,37.457264409151776,order_class,6.658759812762928,4.0151886038026205,0.7135496499133108,0.5058489318217846,,False,0
517408265,511507650,Cux2-CreERT2,175,0,6.802994773465305,89.67597201068313,1.2589534342875763,22.19617206589756,51.15835346509442,7.63317063252252,6.063107994810008,1.953999844077945e-05,OFF,0.5326088218520801,2.174544045345581e-06,-11668.667628552565,0.5326088218520801,0.4724565487481137,0.5257933696596538,0.0,1.0482566998981646e-05,16,275.06009569377994,259.7176076555024,,0.0,89.67597201068313,order_class,7.63317063252252,6.063107994810008,0.8327001373054079,0.23028076810939765,0.0,True,0
517406609,511507650,Cux2-CreERT2,175,0,6.0161793324177895,1.3433610432821297,1.1715470313298055,20.58598681872092,44.68265131644008,6.51179376140163,5.558286255064118,0.0593316325915044,OFF,0.9368306905563994,0.0016295692930117,-5737.817824700822,0.9368306905563994,0.8140818914395381,0.7765568655708435,0.0,1.3499870700872664e-05,16,101.44515789473684,260.9633684210527,,0.0,1.3433610432821297,order_class,6.51179376140163,5.558286255064118,0.7793207733812384,0.15832512440810773,0.0,True,0
