cell_id,container_id,cre_line,depth_um,derivative_order,sigma,theta,kappa,x0,y0,sigma_x,sigma_y,amplitude,dominant_subfield,r_squared,rmse,aic,r2_m0,r2_m1,r2_m2,delta_r2_vs_m0,r2_improvement,n_starts_succeeded,cortex_x_um,cortex_y_um,phi,phi_confidence,theta_hybrid,method
662281854,650389885,Slc17a7-IRES2-Cre,175,0,5.613962253246566,0.38950448693248796,1.3484982729800579,,,6.519205715128517,4.834419031714195,1.3067000134429826e-05,ON,0.3879865696632535,1.6249309924545427e-06,-11929.720507502432,0.3879865696632535,0.3601852406513941,0.38502391548045956,0.0,2.262218548210182e-05,16,,,,0.0,0.38950448693248796,order_class
662279460,650389885,Slc17a7-IRES2-Cre,175,1,7.652166912538593,173.82437005025906,1.479339541344266,34.656242579309954,31.171048794045536,9.30718544595563,6.291446409590493,-0.0013061823110349512,OFF,0.5509617149693827,0.00011490455606605516,-8113.9822144188565,0.47229090924096784,0.5509617149693827,0.5482844540687137,0.0786708057284149,0.0073952196637981915,16,323.92088495575223,132.47575221238938,81.23092244549217,6.158181819070367,81.23092244549217,order_class
662281930,650389885,Slc17a7-IRES2-Cre,175,2,15.449311435734737,148.18337939550085,1.882968307614748,,,21.199744812385504,11.258683816744798,-9.160332089599155e-05,OFF,0.3334250060406653,3.088930875645335e-05,-9291.049984265206,0.15870201964648367,0.3284351438006078,0.3334250060406653,0.1747229863941816,0.0563651935449605,16,,,4.5526655573852395,26.63006549351948,148.18337939550085,order_class
662278022,650389885,Slc17a7-IRES2-Cre,175,1,17.42529767205349,20.121991510373164,1.06220819837073,,,17.959119089099072,16.90734369838766,-4.621024969236136e-06,OFF,0.34604917566944315,1.3075695133701407e-06,-12124.417067677916,0.28036051954491625,0.34604917566944315,0.30772532265328434,0.0656886561245269,3.3587707016780044e-06,16,,,90.92515622102712,15.752825312648612,90.92515622102712,order_class
662278543,650389885,Slc17a7-IRES2-Cre,175,0,6.207013968759788,12.11050360437713,1.2900521182576323,60.03964091686616,39.65532721031897,7.049955096884573,5.464860680517598,0.0121508718580377,OFF,0.840811162406775,0.000576031654471947,-6669.575757015744,0.840811162406775,0.5070396250033927,0.6438855783451605,0.0,1.3106182805699973e-12,16,35.18666666666667,69.82596491228071,,0.0,12.11050360437713,order_class
662285267,650389885,Slc17a7-IRES2-Cre,175,0,9.892802261858122,161.1330978195667,1.630642899177632,47.15733259442168,32.64639112844641,12.632774976390541,7.747113106592203,0.0019441312416402451,OFF,0.6102842382101671,0.00025861595742565245,-7387.109082346918,0.6102842382101671,0.46969960990734017,0.5199628948207966,0.0,0.015479422309954027,16,160.95772727272728,227.28727272727272,,0.0,161.1330978195667,order_class
662281402,650389885,Slc17a7-IRES2-Cre,175,0,12.826771484444668,153.25696513731776,2.7307827561278324,,,21.19634274861051,7.762002561736652,2.685509890066101e-05,OFF,0.3068732523300287,8.273423672751357e-06,-10471.40608421919,0.3068732523300287,0.27403677014913175,0.2986076485269691,0.0,0.06033094688797569,16,,,,0.0,153.25696513731776,order_class
662278837,650389885,Slc17a7-IRES2-Cre,175,1,17.7715777656291,50.643608855710504,1.943345817928649,,,24.77427940897658,12.74826085013665,-5.6111877324690035e-06,OFF,0.30514997659865317,1.5431508065384355e-06,-11975.98909107337,0.17701186404721037,0.30514997659865317,0.28801998214052926,0.1281381125514428,1.6858571127986721e-06,16,,,2.0852359923180472,5.781017957917049,2.0852359923180472,order_class
662278772,650389885,Slc17a7-IRES2-Cre,175,0,5.546735865129904,2.440509970454997,1.5027889839779807,65.57306961477133,27.21832189929127,6.799648872904716,4.524686396692635,0.007816505465373338,OFF,0.8098863588943923,0.0003706865127839599,-7064.537833088348,0.8098863588943923,0.4938512904671476,0.6346033318542401,0.0,0.00026405681711727524,16,28.028,315.05066666666664,,0.0,2.440509970454997,order_class
662284816,650389885,Slc17a7-IRES2-Cre,175,2,7.963605398382693,1.0067750080516769,2.450792479614755,35.07612995430486,28.702978701223948,12.467029922125645,5.086938215219823,0.002983009254305462,OFF,0.5310369963622672,0.00034802052457501455,-7121.071194733564,0.4183163697673222,0.5259186463444889,0.5310369963622672,0.11272062659494497,0.1882568258672449,16,329.49696,136.3596,4.249835463175032,29.74676510785469,1.0067750080516769,order_class
